Row,Rank,film,film1,Studio,Total Gross,Theaters,Opening weekend,Theaters for opening,Wide,Close,tweetSearch,Genre,Actors,Rated,imdbRating
45,36,The Accountant,TheAccountant,WB,"$86,260,045 ","3,402","$24,710,273 ","3,332",10/14/2016,12-Jan,#TheAccountant,"Action, Crime, Drama, Thriller","Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal",R,7.3
46,59,The BFG,TheBFG,BV,"$55,483,770 ","3,392","$18,775,350 ","3,357",7/1/2016,13-Oct,#TheBFG,"Adventure, Family, Fantasy","Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement",PG,6.4
47,34,Don't Breathe,Don'tBreathe,SGem,"$89,217,875 ","3,384","$26,411,706 ","3,051",8/26/2016,22-Dec,#Don'tBreathe,"Crime, Horror, Thriller","Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto",R,7.1
48,71,How to Be Single,HowtoBeSingle,WB (NL),"$46,843,513 ","3,357","$17,878,911 ","3,343",2/12/2016,14-Apr,#HowtoBeSingle,"Comedy, Drama, Romance","Dakota Johnson, Rebel Wilson, Leslie Mann, Damon Wayans Jr.",R,6.1
49,28,The Conjuring 2,TheConjuring2,WB (NL),"$102,470,008 ","3,356","$40,406,314 ","3,343",6/10/2016,25-Aug,#TheConjuring2,"Drama, Horror, Mystery, Thriller","Patrick Wilson, Vera Farmiga, Madison Wolfe, Frances O'Connor",R,7.4
50,85,Mother's Day,Mother'sDay,ORF,"$32,492,859 ","3,291","$8,369,184 ","3,035",4/29/2016,16-Jun,#Mother'sDay,"Comedy, Drama, Romance","Jennifer Aniston, Timothy Olyphant, Shay Mitchell, Caleb Brown",PG-13,5.7
51,68,Kubo and the Two Strings,KuboandtheTwoStrings,Focus,"$48,023,088 ","3,279","$12,608,372 ","3,260",8/19/2016,1-Dec,#KuboandtheTwoStrings,"Animation, Action, Adventure, Family, Fantasy","Art Parkinson, Charlize Theron, Brenda Vaccaro, Cary-Hiroyuki Tagawa",PG,7.8
52,73,War Dogs,WarDogs,WB,"$43,034,523 ","3,258","$14,685,305 ","3,258",8/19/2016,20-Oct,#WarDogs,"Comedy, Crime, Drama, War","Miles Teller, Steve Lantz, Gregg Weiner, David Packouz",R,7.1
53,41,The Girl on the Train ,TheGirlontheTrain,Uni.,"$75,395,035 ","3,241","$24,536,265 ","3,144",10/7/2016,29-Dec,#TheGirlontheTrain,"Crime, Drama, Mystery, Thriller","Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux",R,6.5
54,19,La La Land,LaLaLand,LG/S,"$151,101,803 ","3,236","$881,104 ",5,12/9/2016,27-Apr,#LaLaLand,"Comedy, Drama, Music, Musical, Romance","Ryan Gosling, Emma Stone, AmiÃ©e Conn, Terry Walters",PG-13,8
55,48,Now You See Me 2,NowYouSeeMe2,LG/S,"$65,075,540 ","3,232","$22,383,146 ","3,232",6/10/2016,25-Aug,#NowYouSeeMe2,"Action, Adventure, Comedy, Crime, Mystery, Thriller","Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco",PG-13,6.5
56,25,Bad Moms,BadMoms,STX,"$113,257,297 ","3,215","$23,817,340 ","3,215",7/29/2016,27-Oct,#BadMoms,Comedy,"Mila Kunis, Kathryn Hahn, Kristen Bell, Christina Applegate",R,6.2
57,62,Office Christmas Party,OfficeChristmasParty,Par.,"$54,767,494 ","3,210","$16,890,204 ","3,210",12/9/2016,26-Jan,#OfficeChristmasParty,Comedy,"Jason Bateman, Olivia Munn, T.J. Miller, Jennifer Aniston",R,5.8
58,33,Ride Along 2,RideAlong2,Uni.,"$91,221,830 ","3,192","$35,243,095 ","3,175",1/15/2016,16-Jun,#RideAlong2,"Action, Comedy","Ice Cube, Kevin Hart, Tika Sumpter, Benjamin Bratt",PG-13,5.9
59,55,My Big Fat Greek Wedding 2,MyBigFatGreekWedding2,Uni.,"$59,689,605 ","3,179","$17,861,950 ","3,133",3/25/2016,26-May,#MyBigFatGreekWedding2,"Comedy, Romance","Nia Vardalos, John Corbett, Michael Constantine, Lainie Kazan",PG-13,6
60,82,Ouija: Origin of Evil,Ouija,Uni.,"$35,144,505 ","3,168","$14,065,500 ","3,167",10/21/2016,29-Dec,#Ouija,"Drama, Horror, Mystery, Thriller","Annalise Basso, Elizabeth Reaser, Lulu Wilson, Henry Thomas",PG-13,6.1
61,76,Allied,Allied,Par.,"$40,098,064 ","3,160","$12,701,743 ","3,160",11/23/2016,26-Jan,#Allied,"Action, Drama, Romance, Thriller, War","Brad Pitt, Vincent Ebrahim, Xavier de Guillebon, Marion Cotillard",R,7.1
62,52,Miracles from Heaven,MiraclesfromHeaven,TriS,"$61,705,123 ","3,155","$14,812,393 ","3,047",3/16/2016,21-Jul,#MiraclesfromHeaven,"Biography, Drama, Family","Jennifer Garner, Kylie Rogers, Martin Henderson, Brighton Sharbino",PG,7.1
63,93,The Finest Hours,TheFinestHours,BV,"$27,569,558 ","3,143","$10,288,932 ","3,143",1/29/2016,7-Apr,#TheFinestHours,"Action, Drama, History, Thriller","Chris Pine, Casey Affleck, Ben Foster, Eric Bana",PG-13,6.8
64,31,Sausage Party,SausageParty,Sony,"$97,685,686 ","3,135","$34,263,534 ","3,103",8/12/2016,22-Dec,#SausageParty,"Animation, Adventure, Comedy, Fantasy","Alistair Abell, Iris Apatow, Sugar Lyn Beard, Michael Cera",R,6.2
65,105,Blair Witch,BlairWitch,LGF,"$20,777,061 ","3,121","$9,576,057 ","3,121",9/16/2016,27-Oct,#BlairWitch,"Horror, Mystery, Thriller","James Allen McCune, Callie Hernandez, Corbin Reid, Brandon Scott",R,5
66,86,Patriots Day,PatriotsDay,LGF,"$31,886,361 ","3,120","$161,306 ",7,12/21/2016,9-Mar,#PatriotsDay,"Action, Crime, Drama, History, Thriller","Mark Wahlberg, Dicky Eklund Jr., Michael Marchand, Rhet Kidd",R,7.4
67,87,Gods of Egypt,GodsofEgypt,LG/S,"$31,153,464 ","3,117","$14,123,903 ","3,117",2/26/2016,12-May,#GodsofEgypt,"Action, Adventure, Fantasy","Brenton Thwaites, John Samaha, Courtney Eaton, Nikolaj Coster-Waldau",PG-13,5.4
68,29,Arrival,Arrival,Par.,"$100,546,139 ","3,115","$24,074,047 ","2,317",11/11/2016,9-Mar,#Arrival,"Drama, Mystery, Sci-Fi, Thriller","Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg",PG-13,7.9
69,75,Money Monster,MoneyMonster,TriS,"$41,012,075 ","3,104","$14,788,157 ","3,104",5/13/2016,4-Aug,#MoneyMonster,"Crime, Drama, Thriller","George Clooney, Julia Roberts, Jack O'Connell, Dominic West",R,6.5
70,97,Ben-Hur ,Ben-Hur,Par.,"$26,410,477 ","3,084","$11,203,815 ","3,084",8/19/2016,6-Oct,#Ben-Hur,"Action, Adventure, Drama, History","Jack Huston, Toby Kebbell, Rodrigo Santoro, Nazanin Boniadi",PG-13,5.7
71,112,Masterminds ,Masterminds(2016),Rela.,"$17,368,022 ","3,042","$6,541,205 ","3,042",9/30/2016,10-Nov,#Masterminds,"Action, Comedy, Crime","Zach Galifianakis, Kristen Wiig, Owen Wilson, Ross Kimball",PG-13,5.8
72,86,Collateral Beauty,CollateralBeauty,WB (NL),"$31,016,021 ","3,028","$7,102,085 ","3,028",12/16/2016,9-Feb,#CollateralBeauty,"Drama, Romance","Will Smith, Edward Norton, Kate Winslet, Michael PeÃ±a",PG-13,6.8
73,117,Keeping Up with the Joneses,KeepingUpwiththeJoneses,Fox,"$14,904,426 ","3,022","$5,461,475 ","3,022",10/21/2016,29-Dec,#KeepingUpwiththeJoneses,"Action, Comedy","Zach Galifianakis, Isla Fisher, Jon Hamm, Gal Gadot",PG-13,5.9
75,54,Why Him?,WhyHim,Fox,"$60,323,786 ","3,008","$11,002,986 ","2,917",12/23/2016,23-Mar,#WhyHim,Comedy,"Zoey Deutch, James Franco, Tangie Ambrose, Cedric the Entertainer",R,6.2
76,71,Mike and Dave Need Wedding Dates,MikeandDaveNeedWeddingDates,Fox,"$46,009,673 ","3,008","$16,628,170 ","2,982",7/8/2016,13-Oct,#MikeandDaveNeedWeddingDates,"Adventure, Comedy, Romance","Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza",R,6
77,63,Assassin's Creed,Assassin'sCreed,Fox,"$54,647,948 ","2,996","$10,278,225 ","2,970",12/21/2016,9-Mar,#Assassin'sCreed,"Action, Adventure, Sci-Fi","Michael Fassbender, Marion Cotillard, Jeremy Irons, Brendan Gleeson",PG-13,5.8
78,46,Hacksaw Ridge,HacksawRidge,LGF,"$67,209,615 ","2,971","$15,190,758 ","2,886",11/4/2016,9-Mar,#HacksawRidge,"Biography, Drama, History, War","Andrew Garfield, Richard Pyros, Jacob Warner, Milo Gibson",R,8.1
79,61,The Shallows,TheShallows,Sony,"$55,124,043 ","2,962","$16,800,868 ","2,962",6/24/2016,29-Sep,#TheShallows,"Drama, Horror, Thriller","Blake Lively, Ã“scar Jaenada, Angelo Josue Lozano Corzo, Joseph Salas",PG-13,6.3
80,111,Bad Santa 2,BadSanta2,BG,"$17,782,178 ","2,945","$6,176,680 ","2,920",11/23/2016,26-Jan,#BadSanta2,"Comedy, Crime, Drama","Billy Bob Thornton, Kathy Bates, Tony Cox, Christina Hendricks",R,5.6
81,130,Pride and Prejudice and Zombies,PrideandPrejudiceandZombies,SGem,"$10,938,134 ","2,931","$5,324,240 ","2,931",2/5/2016,3-Mar,#PrideandPrejudiceandZombies,"Action, Horror, Romance","Lily James, Sam Riley, Bella Heathcote, Ellie Bamber",PG-13,5.8
82,97,Bridget Jones's Baby,BridgetJonesBaby,Uni.,"$24,252,420 ","2,930","$8,571,785 ","2,927",9/16/2016,15-Dec,#BridgetJonesBaby,"Comedy, Drama, Romance","RenÃ©e Zellweger, Gemma Jones, Jim Broadbent, Sally Phillips",R,6.5
